"year","month","day","country","flu_activity"
2003,"05","04","Paraguay",NA
2003,"05","04","Peru",494
2003,"05","04","Poland",NA
2003,"05","04","Romania",655
2003,"05","04","Russia",NA
2003,"05","04","South Africa",NA
2003,"05","04","Spain",NA
2003,"05","04","Sweden",NA
2003,"05","04","Switzerland",NA
2003,"05","04","Ukraine",NA
2003,"05","04","United States",NA
2003,"05","04","Uruguay",116
2003,"05","11","Argentina",241
2003,"05","11","Australia",NA
2003,"05","11","Austria",NA
2003,"05","11","Belgium",NA
2003,"05","11","Bolivia",560
2003,"05","11","Brazil",336
2003,"05","11","Bulgaria",NA
2003,"05","11","Canada",NA
2003,"05","11","Chile",3
2003,"05","11","France",NA
2003,"05","11","Germany",NA
2003,"05","11","Hungary",NA
2003,"05","11","Japan",NA
2003,"05","11","Mexico",NA
2003,"05","11","Netherlands",NA
2003,"05","11","New Zealand",NA
2003,"05","11","Norway",NA
2003,"05","11","Paraguay",NA
2003,"05","11","Peru",456
2003,"05","11","Poland",NA
2003,"05","11","Romania",657
2003,"05","11","Russia",NA
2003,"05","11","South Africa",NA
2003,"05","11","Spain",NA
2003,"05","11","Sweden",NA
2003,"05","11","Switzerland",NA
2003,"05","11","Ukraine",NA
2003,"05","11","United States",NA
2003,"05","11","Uruguay",122
2003,"05","18","Argentina",232
2003,"05","18","Australia",NA
2003,"05","18","Austria",NA
2003,"05","18","Belgium",NA
2003,"05","18","Bolivia",539
2003,"05","18","Brazil",361
2003,"05","18","Bulgaria",NA
2003,"05","18","Canada",NA
2003,"05","18","Chile",1
2003,"05","18","France",NA
2003,"05","18","Germany",NA
2003,"05","18","Hungary",NA
2003,"05","18","Japan",NA
2003,"05","18","Mexico",NA
2003,"05","18","Netherlands",NA
2003,"05","18","New Zealand",NA
2003,"05","18","Norway",NA
2003,"05","18","Paraguay",NA
2003,"05","18","Peru",450
2003,"05","18","Poland",NA
2003,"05","18","Romania",639
2003,"05","18","Russia",NA
2003,"05","18","South Africa",NA
2003,"05","18","Spain",NA
2003,"05","18","Sweden",NA
2003,"05","18","Switzerland",NA
2003,"05","18","Ukraine",NA
2003,"05","18","United States",NA
2003,"05","18","Uruguay",119
2003,"05","25","Argentina",251
2003,"05","25","Australia",NA
2003,"05","25","Austria",NA
2003,"05","25","Belgium",NA
2003,"05","25","Bolivia",547
2003,"05","25","Brazil",385
2003,"05","25","Bulgaria",NA
2003,"05","25","Canada",NA
2003,"05","25","Chile",1
2003,"05","25","France",NA
2003,"05","25","Germany",NA
2003,"05","25","Hungary",NA
2003,"05","25","Japan",NA
2003,"05","25","Mexico",NA
2003,"05","25","Netherlands",NA
2003,"05","25","New Zealand",NA
2003,"05","25","Norway",NA
2003,"05","25","Paraguay",NA
2003,"05","25","Peru",441
2003,"05","25","Poland",NA
2003,"05","25","Romania",613
2003,"05","25","Russia",NA
2003,"05","25","South Africa",NA
2003,"05","25","Spain",NA
2003,"05","25","Sweden",NA
2003,"05","25","Switzerland",NA
2003,"05","25","Ukraine",NA
2003,"05","25","United States",NA
2003,"05","25","Uruguay",118
2003,"06","01","Argentina",253
2003,"06","01","Australia",NA
2003,"06","01","Austria",NA
2003,"06","01","Belgium",NA
2003,"06","01","Bolivia",567
2003,"06","01","Brazil",403
2003,"06","01","Bulgaria",NA
2003,"06","01","Canada",NA
2003,"06","01","Chile",2
2003,"06","01","France",NA
2003,"06","01","Germany",NA
2003,"06","01","Hungary",NA
2003,"06","01","Japan",NA
2003,"06","01","Mexico",NA
2003,"06","01","Netherlands",NA
2003,"06","01","New Zealand",NA
2003,"06","01","Norway",NA
2003,"06","01","Paraguay",NA
2003,"06","01","Peru",497
2003,"06","01","Poland",NA
2003,"06","01","Romania",584
2003,"06","01","Russia",NA
2003,"06","01","South Africa",NA
2003,"06","01","Spain",NA
2003,"06","01","Sweden",NA
2003,"06","01","Switzerland",NA
2003,"06","01","Ukraine",NA
2003,"06","01","United States",NA
2003,"06","01","Uruguay",128
2003,"06","08","Argentina",261
2003,"06","08","Australia",NA
2003,"06","08","Austria",NA
2003,"06","08","Belgium",NA
2003,"06","08","Bolivia",529
2003,"06","08","Brazil",371
2003,"06","08","Bulgaria",NA
2003,"06","08","Canada",NA
2003,"06","08","Chile",2
2003,"06","08","France",NA
2003,"06","08","Germany",NA
